ganador,titulo,year,nominaciones,puntuacion,votos,criticas,coproduccion,genero,feroz_drama,feroz_comedia,forque,cec
0,Mi vida sin mí,2004,5,7.6,59146,171,1,"['Drama', 'Romance']",no_clasificado,no_clasificado,nominado,nominado
0,Planta 4ª,2004,0,6.6,24134,30,0,"['Drama', 'Comedia']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Soldados de Salamina,2004,8,6.4,11338,43,0,"['Drama', 'Intriga']",no_clasificado,no_clasificado,nominado,nominado
1,Mar adentro,2005,15,7.2,102957,218,0,['Drama'],no_clasificado,no_clasificado,ganador,nominado
0,La mala educación,2005,4,6.1,41085,117,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Roma,2005,4,7.2,6462,27,1,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Tiovivo c. 1950,2005,6,6.0,2560,34,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
1,La vida secreta de las palabras,2006,5,7.0,28680,176,0,"['Drama', 'Romance']",no_clasificado,no_clasificado,ganador,ganador
0,7 vírgenes,2006,6,6.1,21247,97,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Obaba,2006,10,6.1,8482,61,0,"['Drama', 'Romance']",no_clasificado,no_clasificado,nominado,no_clasificado
0,Princesas,2006,9,6.8,28923,144,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
1,Volver,2007,14,7.1,72823,281,0,"['Drama', 'Comedia']",no_clasificado,no_clasificado,nominado,ganador
0,Salvador (Puig Antich),2007,11,7.2,24500,125,0,['Drama'],no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Alatriste,2007,15,5.5,37996,482,1,"['Aventuras', 'Acción', 'Drama']",no_clasificado,no_clasificado,nominado,no_clasificado
0,El laberinto del fauno,2007,13,7.2,120397,523,1,"['Fantástico', 'Drama', 'Thriller']",no_clasificado,no_clasificado,ganador,nominado
1,La soledad,2008,3,6.3,6618,146,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
0,El orfanato,2008,14,6.7,96295,454,0,"['Terror', 'Intriga', 'Fantástico']",no_clasificado,no_clasificado,ganador,nominado
0,Las 13 rosas,2008,14,6.6,19734,144,1,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Siete mesas de billar francés,2008,10,6.2,6698,62,0,['Drama'],no_clasificado,no_clasificado,nominado,ganador
1,Camino,2009,7,7.2,43150,326,0,['Drama'],no_clasificado,no_clasificado,ganador,no_clasificado
0,Los crímenes de Oxford,2009,6,5.7,49817,247,1,"['Intriga', 'Thriller']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,Los girasoles ciegos,2009,15,6.2,20111,139,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Sólo quiero caminar,2009,11,5.6,4324,64,1,['Thriller'],no_clasificado,no_clasificado,nominado,no_clasificado
1,Celda 211,2010,16,7.7,122242,497,1,"['Thriller', 'Drama']",no_clasificado,no_clasificado,ganador,ganador
0,El secreto de sus ojos,2010,9,8.1,89971,542,1,"['Thriller', 'Intriga', 'Drama']",no_clasificado,no_clasificado,nominado,nominado
0,El baile de la Victoria,2010,9,5.9,5462,58,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Ágora,2010,13,6.5,66667,490,0,"['Aventuras', 'Romance']",no_clasificado,no_clasificado,nominado,nominado
1,Pa negre (Pan negro),2011,14,6.8,25711,163,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
0,Balada triste de trompeta,2011,15,5.6,43019,347,1,"['Comedia', 'Drama', 'Thriller']",no_clasificado,no_clasificado,nominado,no_clasificado
0,Buried (Enterrado),2011,10,6.8,59153,385,1,"['Intriga', 'Thriller']",no_clasificado,no_clasificado,ganador,no_clasificado
0,También la lluvia,2011,13,7.1,28247,151,1,['Drama'],no_clasificado,no_clasificado,nominado,ganador
1,No habrá paz para los malvados,2012,14,6.0,40436,314,0,['Thriller'],no_clasificado,no_clasificado,ganador,ganador
0,Blackthorn. Sin destino,2012,11,6.4,10050,84,1,"['Western', 'Aventuras']",no_clasificado,no_clasificado,no_clasificado,no_clasificado
0,La piel que habito,2012,16,6.6,57898,451,0,"['Thriller', 'Drama']",no_clasificado,no_clasificado,nominado,no_clasificado
0,La voz dormida,2012,9,7.2,20313,131,0,['Drama'],no_clasificado,no_clasificado,nominado,no_clasificado
1,Blancanieves,2013,18,7.0,21550,183,1,['Drama'],no_clasificado,no_clasificado,ganador,ganador
0,El artista y la modelo,2013,13,6.2,4390,41,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
0,Grupo 7,2013,16,6.5,35814,173,0,"['Thriller', 'Acción', 'Drama']",no_clasificado,no_clasificado,nominado,nominado
0,Lo imposible,2013,14,6.8,74199,481,1,['Drama'],no_clasificado,no_clasificado,nominado,nominado
1,Vivir es fácil con los ojos cerrados,2014,7,6.5,25476,141,0,"['Drama', 'Comedia']",no_clasificado,nominado,no_clasificado,ganador
0,La herida,2014,6,6.0,8006,104,0,['Drama'],nominado,no_clasificado,ganador,no_clasificado
0,La gran familia española,2014,11,5.7,31210,158,0,"['Comedia', 'Drama', 'Romance']",no_clasificado,nominado,nominado,no_clasificado
0,Caníbal,2014,8,5.6,10156,100,1,['Drama'],nominado,no_clasificado,no_clasificado,nominado
0,15 años y un día,2014,7,5.3,4353,59,0,['Drama'],no_clasificado,no_clasificado,nominado,nominado
1,La isla mínima,2015,17,7.2,73032,428,0,"['Cine negro', 'Thriller']",ganador,no_clasificado,ganador,ganador
